id,,dana's annotations,carrie's annotations,agreement,adjudicated,84
260,"Before I begin, please indulge me.  I want to comment on the terrorist attacks that have taken place in Brussels.  The thoughts and the prayers of the American people are with the people of Belgium.  We stand in solidarity with them in condemning these outrageous attacks against innocent people.  We will do whatever is necessary to support our friend and ally, Belgium, in bringing to justice those who are responsible.  And this is yet another reminder that the world must unite, we must be together, regardless of nationality, or race, or faith, in fighting against the scourge of terrorism.  We can -- and will -- defeat those who threaten the safety and security of people all around the world.

To the government and the people of Cuba, I want to thank you for the kindness that you’ve shown to me and Michelle, Malia, Sasha, my mother-in-law, Marian. ",Optimistic,Optimistic,TRUE,Optimistic,
261,"We have to reform our broken criminal justice system, take back our democracy from the wealthy special interests, and make our economy work for everyone, not just those at the top. And you know what? We have to do all these things at the same time.

That's why throughout this campaign, we've been calling for eliminating racial profiling and disparities in sentencing. Ending the era of mass incarceration, dismantling the school-to-prison pipeline, providing more employment opportunities for formerly incarcerated people.",Optimistic,Optimistic,TRUE,Optimistic,
262,"Tonight is just the beginning. Don't allow anyone to tell you that as a Democratic Party we have to choose. Don't allow anyone to tell you that we have to moderate our ambitions or compromise our values, no matter how sobering the landscape.

We are the party of workers’ rights and immigrants’ rights and women's rights and people of color, and we are the party of survivors’ rights.

And for all those reasons we don't have to wait our turn. We don't have to wait for change. Tonight we pick up the mantel. We continue to work, working to restore your hope, to restore your trust, to redeem your relationship with government.

I still believe in the power of us, and change is on the way.",Optimistic,Optimistic,TRUE,Optimistic,
263,"Your Majesties, Your Royal Highnesses, distinguished members of the Norwegian Nobel Committee, citizens of America, and citizens of the world:
 
I receive this honor with deep gratitude and great humility.  It is an award that speaks to our highest aspirations -- that for all the cruelty and hardship of our world, we are not mere prisoners of fate.  Our actions matter, and can bend history in the direction of justice.",Optimistic,Optimistic,TRUE,Optimistic,
264,"The result will be security and dignity for the people of Kosovo, achieved by an alliance that stood together in purpose and resolve, assisted by the diplomatic efforts of Russia. This victory brings a new hope that when a people are singled out for destruction because of their heritage and religious faith and we can do something about it, the world will not look the other way.

I want to express my profound gratitude to the men and women of our Armed Forces and those of our Allies. Day after day, night after night, they flew, risking their lives to attack their targets and to avoid civilian casualties when they were fired upon from populated areas. I ask every American to join me in saying to them, thank you, you've made us very proud.",Optimistic,Optimistic,TRUE,Optimistic,
265,"So, each one of us has a choice today: Will we defend this democracy? Will we speak out for what we believe in? Will we reject hate and fear, greed and corruption? Will we fight, with every fiber of our being, because everything we care about is at stake? Will we be brave? You've already answered that question just by being here today. And if you're with me - if you're ready to take on this fight - join my campaign by going to KIRSTENGILLIBRAND.COM and contribute to help power this movement forward. I believe, in my bones, that we can do this. And I know that years from now, we will look back on this moment in our history, and we'll be able to say that we did something about it. We stood up, locked arms, and proved to America and the world, that when people come together to drive out darkness... Hope rises. Fear loses. And, Brave wins. Thank you. God Bless you all. And God bless America!""",Optimistic,Optimistic,TRUE,Optimistic,
266,"But the creators of national government were perforce ruthless men. They were often cruel in their methods, but they did strive steadily toward something that society needed and very much wanted, a strong central state, able to keep the peace, to stamp out civil war, to put the unruly nobleman in his place, and to permit the bulk of individuals to live safely. The man of ruthless force had his place in developing a pioneer country, just as he did in fixing the power of the central government in the development of nations. Society paid him well for his services and its development. When the development among the nations of Europe, however, has been completed, ambition, and ruthlessness, having served its term tended to overstep its mark.

There came a growing feeling that government was conducted for the benefit of a few who thrived unduly at the expense of all. The people sought a balancing -- a limiting force. There came gradually, through town councils, trade guilds, national parliaments, by constitution and by popular participation and control, limitations on arbitrary power.",Pessimistic,Pessimistic,TRUE,Pessimistic,
267,"I will be out there fighting with you. I am not going away. I love this state. I will continue to serve. I look forward…in this audience tonight, there are candidates that will stand for election in this state and win. And I look forward to helping you, helping nurture the next generation of leaders, for the values that we care about.

And for now it is good night, but it is not good bye. I love you guys to death. Thank you so very much for all you’ve done. Thank you, thank you.",Optimistic,Optimistic,TRUE,Optimistic,
268,"So let's look at what we're talking about, so here's a fellow that came in office talking about ‘make America great again’ which caused a lot of us to ask again exactly for whom? And caused all of us to realize he was talking about going back to something. So back to what exactly? Back before the Voting Rights Act? back before the Civil Rights Act? Back before the Fair Housing Act? Back before the ADA, back before Title IX, back before Roe v. Wade? Cuz we're not going back. We are not going back. And he came in making a lot of promises to a lot of folks. He made promises to farmers, he made promises to working families and he betrayed people. Let's just look at what happened; he betrayed our families when he said, “I see you, I've got you, I will take care of you, I will honor your hard work.” And then he passes the tax bill benefiting the top 1% in the biggest corporations in America. Betrayed families, betrayed our farmers. Said, “hey I'm gonna hang out with you, I'm going to respect you,” and then what did he do? He engages in trade policy by tweet, borne out a unilateral action that is essentially born out of a fragile ego that has resulted in our farmers here in Iowa looking at bankruptcy because, of course, over decades they did the hard work of building up a market to sell soybeans to China and now they're looking at soybeans rotting at--in bins and looking at bankruptcy.",Pessimistic,Pessimistic,TRUE,Pessimistic,
269,"The long and meticulous study and debate of which this Universal Declaration of Human Rights is the product means that it reflects the composite views of the many men and governments who have contributed to its formulation. Not every man nor every government can have what he wants in a document of this kind. There are of course particular provisions in the Declaration before us with which we are not fully satisfied. I have no doubt this is true of other delegations, and it would still be true if we continued our labors over many years. Taken as a whole the Delegation of the United States believes that this is a good document -- even a great document -- and we propose to give it our full support. The position of the United States on the various parts of the Declaration is a matter of record in the Third Committee. I shall not burden the Assembly, and particularly my colleagues of the Third Committee, with a restatement of that position here.",Neutral,Neutral,TRUE,Neutral,
270,"Good morning. Thank you all for coming. I take great joy in making this announcement. It's going to be one of the most important initiatives that my administration not only discusses, but implements.

First, it's good to have so many groups represented here -- religious and non-religious; Catholic, Jewish, Protestant, and Muslim; foundations and other non-profits. I want to thank you all for coming.",Optimistic,Optimistic,TRUE,Optimistic,
271,"That is why I love this country. And in my own life, in my own small way, I’ve tried to give back to this country that has given me so much. That’s why I left a job at a law firm for a career in public service, working to empower young people to volunteer in their communities.

Because I believe that each of us—no matter what our age or background or walk of life—each of us has something to contribute to the life of this nation. It’s a belief Barack shares, a belief at the heart of his life’s work. It’s what he did all those years ago on the streets of Chicago, setting up job training to get people back to work and after-school programs to keep kids safe, working block by block to help people lift up their families.",Optimistic,Optimistic,TRUE,Optimistic,
272,"I would move on by Greece and take my mind to Mount Olympus. And I would see Plato, Aristotle, Socrates, Euripides and Aristophanes assembled around the Parthenon. And I would watch them around the Parthenon as they discussed the great and eternal issues of reality. But I wouldn't stop there.

I would go on, even to the great heyday of the Roman Empire. And I would see developments around there, through various emperors and leaders. But I wouldn't stop there.",Neutral,Neutral,TRUE,Neutral,
273,"This year, the choice for Americans is between a man who values these ideals and all that can be built because of them and a man who isn’t guided by these ideals and coincidentally has built nothing.

Remember, America’s battle for independence and fight for self-governance was something that had never been done before. Men of great intellect and wisdom like James Madison, the Father of our Constitution, hoped our constitutional republic would last for ages, mitigate the problems that would naturally arise from political factions, and prevent tyranny.",Neutral,Pessimistic,FALSE,,
274,"The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what is adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods.",Neutral,Optimistic,FALSE,,
275,"And together, we will shape a future with a boundless belief and historic investment, with the children at the core of every decision we make. That means affordable child care for families and real pathways of opportunity from cradle to career. Because when all of Georgia’s children have a chance to reach their potential, regardless of their Zip code or their family’s salaries, we can reach our potential as a state — and we will unleash the full power of our people.

That is why public education and public schools must remain the beating heart of Georgia. We have to propel our young people towards lives of security and happiness and achievement. But even as I speak here tonight, public education is under assault in our state, with our kids and our educators being told to do more and more with less and less.",Optimistic,Optimistic,TRUE,Optimistic,
276,"I KNOW A LOT ABOUT LAW ENFORCEMENT ARE HERE TONIGHT AND THEY HAVE BEEN SO SUPPORTIVE OF ME. I THANK THEM FOR THE FRATERNAL ORDER OF POLICE ENDORSEMENT. THEY REMIND ME REGULARLY IF WE DO NOT SECURE THAT SOUTHERN BORDER, IT TURNS EVERY STATE INTO A BORDER STATE. EVERY TOWN INTO A BORDER TOWN. YOU HAVE MY COMMITMENT ON THAT. WE WANT TO MAKE CERTAIN YOU KNOW WE ARE GOING TO CONTINUE TO WORK EVERY DAY. I GET UP EVERY DAY AND I FIGHT FOR THE BIG FIVE, FAITH, FAMILY, FREEDOM, HOPE AND OPPORTUNITY. I HAVE ASKED YOU THROUGH THIS CAMPAIGN TO STAND WITH ME. TONIGHT IS NO DIFFERENT. I ASK THAT YOU STAND WITH ME AS WE WORK ON THESE ISSUES FOR OUR STATE, FOR OUR NATION. WE KNOW WE ARE GOING TO BE GOING TO WORK EARLY TOMORROW ON THESE ISSUES. THE TRANSITION BEGINS. I LOOK FORWARD TO BEING YOUR SENATOR. GOD BLESS TENNESSEE. GOD BLESS THE UNITED STATES. THANK YOU.",Optimistic,Optimistic,TRUE,Optimistic,
277,"The commitment to a free Iraq now goes forward. This historic election begins the process of drafting and ratifying a new constitution, which will be the basis of a fully democratic Iraqi government. Terrorists and insurgents will continue to wage their war against democracy, and we will support the Iraqi people in their fight against them. We will continue training Iraqi security forces so this rising democracy can eventually take responsibility for its own security.

There's more distance to travel on the road to democracy. Yet Iraqis are proving they're equal to the challenge. On behalf of the American people, I congratulate the people of Iraq on this great and historic achievement.",Optimistic,Optimistic,TRUE,Optimistic,
278,"We all know life can knock us down. But in America, we never, ever, ever stay down. Americans always get up. Today, that’s what we’re doing: America is rising anew, choosing hope over fear, truth over lies, and light over darkness.

After 100 days of rescue and renewal, America is ready for takeoff, in my view. We’re working again, dreaming again, discovering again, and leading the world again.",Optimistic,Optimistic,TRUE,Optimistic,
279,"Having provided that summary, I would like to review the nature of the conflict in Iraq, recall the situation before the surge, describe the current situation, and explain the recommendations I have provided to my chain of command for the way ahead in Iraq.

The fundamental source of the conflict in Iraq is competition among ethnic and sectarian communities for power and resources. This competition will take place, and its resolution is key to producing long-term stability in the new Iraq. The question is whether the competition takes place more -- or less -- violently. This chart shows the security challenges in Iraq.",Neutral,Neutral,TRUE,Neutral,
280,"These Germans cleared and cultivated our land, built our industries, and advanced our arts and sciences. In honor of 300 years of German contributions in America, President Carstens and I have agreed today that he will pay an official visit to the United States in October of 1983 to celebrate the occasion.

The German people have given us so much, we like to think that we've repaid some of that debt. Our American Revolution was the first revolution in modern history to be fought for the right of self-government and the guarantee of civil liberties. That spirit was contagious. In 1849, the Frankfurt Parliament's statement of basic human rights guaranteed freedom of expression, freedom of religion, and equality before the law. And these principles live today in the basic law of the Federal Republic. Many peoples to the east still wait for such rights.",Optimistic,Neutral,FALSE,,
281,"The functions of our government continue without interruption. Federal agencies in Washington which had to be evacuated today are reopening for essential personnel tonight, and will be open for business tomorrow. Our financial institutions remain strong, and the American economy will be open for business, as well.

The search is underway for those who are behind these evil acts. I've directed the full resources of our intelligence and law enforcement communities to find those responsible and to bring them to justice. We will make no distinction between the terrorists who committed these acts and those who harbor them.",Neutral,Neutral,TRUE,Neutral,
282,"But in 2006, the opposite happened. The violence in Iraq -- particularly in Baghdad -- overwhelmed the political gains the Iraqis had made. Al Qaeda terrorists and Sunni insurgents recognized the mortal danger that Iraq's elections posed for their cause, and they responded with outrageous acts of murder aimed at innocent Iraqis. They blew up one of the holiest shrines in Shia Islam -- the Golden Mosque of Samarra -- in a calculated effort to provoke Iraq's Shia population to retaliate. Their strategy worked. Radical Shia elements, some supported by Iran, formed death squads. And the result was a vicious cycle of sectarian violence that continues today.

The situation in Iraq is unacceptable to the American people -- and it is unacceptable to me. Our troops in Iraq have fought bravely. They have done everything we have asked them to do. Where mistakes have been made, the responsibility rests with me.",Pessimistic,Pessimistic,TRUE,Pessimistic,
283,"Kosovo is a province of Serbia, in the middle of southeastern Europe, about 160 miles east of Italy. That's less than the distance between Washington and New York and only about 70 miles north of Greece. Its people are mostly ethnic Albanian and mostly Muslim.
In 1989 Serbia's leader, Slobodan Milosevic, the same leader who started the wars in Bosnia and Croatia and moved against Slovenia in the last decade, stripped Kosovo of the constitutional autonomy its people enjoyed, thus denying them their right to speak their language, run their schools, shape their daily lives. For years, Kosovars struggled peacefully to get their rights back. When President Milosevic sent his troops and police to crush them, the struggle grew violent.",Neutral,Neutral,TRUE,Neutral,
284,"We read of killing one hundred thousand men in a day. We read about it and we rejoiced in it -- if it was the other fellows who were killed. We were fed on flesh and drank blood. Even down to the prattling babe. I need not tell you how many upright, honorable young boys have come into this court charged with murder, some saved and some sent to their death, boys who fought in this war and learned to place a cheap value on human life. You know it and I know it. These boys were brought up in it. The tales of death were in their homes, their playgrounds, their schools; they were in the newspapers that they read; it was a part of the common frenzy -- what was a life? It was nothing. It was the least sacred thing in existence and these boys were trained to this cruelty.",Pessimistic,Pessimistic,TRUE,Pessimistic,
285,"A great people has been moved to defend a great nation. Terrorist attacks can shake the foundations of our biggest buildings, but they cannot touch the foundation of America. These acts shatter steel, but they cannot dent the steel of American resolve. America was targeted for attack because we're the brightest beacon for freedom and opportunity in the world. And no one will keep that light from shining. Today, our nation saw evil -- the very worst of human nature -- and we responded with the best of America. With the daring of our rescue workers, with the caring for strangers and neighbors who came to give blood and help in any way they could.",Optimistic,Optimistic,TRUE,Optimistic,
286,"This is not a distant threat. It is a present danger. The rate of infection is increasing fastest among women and children. Largely unknown a decade ago, AIDS is the third leading killer of young adult Americans today. But it won’t be third for long, because unlike other diseases, this one travels. Adolescents don’t give each other cancer or heart disease because they believe they are in love, but HIV is different; and we have helped it along. We have killed each other with our ignorance, our prejudice, and our silence.

We may take refuge in our stereotypes, but we cannot hide there long, because HIV asks only one thing of those it attacks: Are you human? And this is the right question. Are you human? Because people with HIV have not entered some alien state of being. They are human. They have not earned cruelty, and they do not deserve meanness. They don’t benefit from being isolated or treated as outcasts. Each of them is exactly what God made: a person; not evil, deserving of our judgment; not victims, longing for our pity -- people, ready for support and worthy of compassion.",Pessimistic,Pessimistic,TRUE,Pessimistic,
287,"The average American worker had decent benefits, could afford a home, could afford a car, could afford a yearly vacation, could afford for one member of the couple to stay home if they wished, and could afford to send their kids to college.

But over the last 50 years, there has been a massive transfer of wealth, to the tune of 50 trillion dollars, from the bottom 90% of Americans to the top 1%.

Decimating America’s middle class.",Pessimistic,Pessimistic,TRUE,Pessimistic,
288,"Yes! But I'm going to start with a few thank you’s. First of all I want to thank Ludmill. I mean are all you student like her? She’s amazing and I know you all are too. Let’s give her a round of applause. I also want to recognize you are your U.S. Senate candidate. Katie McGinty. Katie’s here. Your U.S. House of Representatives candidate Dwight Evans. Your candidate for attorney general Josh Shapiro. Your state senator Art Haywood, and city councilwoman Cindy bass.

I know you all heard from them earlier today. So let's thank them for being here and let's wish them luck on the future. We're going to get a lot of things got done, but most of all I want to thank all of you here at LaSalle University. I have heard some great things about the school and about the students and staff, so I am so proud I am honored to be here.",Optimistic,Optimistic,TRUE,Optimistic,
289,"Good morning, good morning, it's great to be with you. So-so let's just get started, I've only got 20 minutes, I could go on for hours but I've got 20 minutes so here it is; I think we all know this is an inflection moment in the history of our country. This is a moment in time that is requiring us each as individuals and collectively to look in a mirror and ask a question. That question being: who are we? And I think we all know part of the answer to that question is; we are better than this. So this is a moment in time that is requiring us to fight for the best of who we are and fight we will and this is not a new fight for us. We as Americans have always been in the business of fighting for the best of who we are and fighting for our ideals. And I'll tell you I'm a daughter of fighters. My parents met when they were active in the Civil Rights movement in the 1960s. My sister and I, Maya, we’d joke we grew up surrounded by a bunch of adults who spent full time marching and shouting about this thing called justice.",Neutral,Optimistic,FALSE,,
290,"Now, you might have heard that last week in New Hampshire, I gave a speech. (Applause.) And let me just say that since then, my office has been flooded with thousands of letters and emails from folks all across the country. Women of all ages finding the courage to stand up and tell their stories, clearing the cloud of shame that existed for far too long. Parents declaring that our daughters -- and our sons -- deserve better. (Applause.) Speaking out for the values of decency and respect that we all hold dear. Men of all backgrounds and walks of life agreeing that decent men do not demean women -- (applause) -- and we shouldn’t tolerate this behavior from any man, let alone a man who wants to be the President. (Applause.)

And let me just tell you, I have been so moved and so humbled by these responses -- by the powerful affirmation of our shared values. But what I have not been is surprised. Let me tell you, because this kind of courage and decency and compassion -- this is who we are. This is the America that I know. (Applause.)",Optimistic,Optimistic,TRUE,Optimistic,
291,"We have radically reformed the college loan program, as I promised, to lower the cost of college loans and broaden the availability of it and make the repayment terms easier. And we have passed the national service law that will give in 3 years, 3 years from now, 100,000 young Americans the chance to serve their communities at home, to repair the frayed bonds of community, to build up the needs of people at the grassroots, and at the same time, earn some money to pay for a college education. It is a wonderful idea.

On April 15th when people pay their taxes, somewhere between 15 million and 18 million working families on modest incomes, families with children and incomes of tinder $23,000, will get a tax cut, not a tax increase, in the most important effort to ensure that we reward work and family in the last 20 years. Fifty million American parents and their children will be advantaged by putting the Tax Code back on the side of working American parents for a change.",Optimistic,Neutral,FALSE,,
292,"Now, I mean, something has gone terribly wrong when one speaker says ""vote your conscience"" and gets booed. I mean, I never thought I would say these words, but Ted Cruz was right. In this election, do the right thing and vote your conscience—vote for your future; vote for a United States of America.

Now, look, I think many of us felt that those speakers, including of course their nominee, were not talking about the country we know and love. They weren't talking about the work people do every day, the opportunities we try to seize, neighbors helping neighbors. I didn't hear any of that. Instead, I heard about Donald Trump's dark and divisive vision. Last night's speech took it to a whole new level. He offered a lot of fear and anger and resentment, but no solutions about anything that he even talked about.",Pessimistic,Pessimistic,TRUE,Pessimistic,
293,"When I came into your hall tonight, I thought of the last time I was in your city. Twenty-one years ago I came here with Susan B. Anthony, and we came for exactly the same purpose as that for which we are here tonight. Boys have been born since that time and have become voters, and the women are still trying to persuade American men to believe in the fundamental principles of democracy, and I never quite feel as if it was a fair field to argue this question with men, because in doing it you have to assume that a man who professes to believe in a Republican form of government does not believe in a Republican form of government, for the only thing that woman's enfranchisement means at all is that a government which claims to be a Republic should be a Republic, and not an aristocracy.",Neutral,Neutral,TRUE,Neutral,
294,"During one great period of immigration -- between 1891 and 1920 -- our nation received some 18 million men, women and children from other nations. The hard work of these immigrants helped make our economy the largest in the world. The children of immigrants put on the uniform and helped to liberate the lands of their ancestors. One of the primary reasons America became a great power in the 20th century is because we welcomed the talent and the character and the patriotism of immigrant families.

The contributions of immigrants to America continue. About 14 percent of our nation's civilian workforce is foreign-born. Most begin their working lives in America by taking hard jobs and clocking long hours in important industries. Many immigrants also start businesses, taking the familiar path from hired labor to ownership.",Neutral,Neutral,TRUE,Neutral,
295,"I understand the skepticism in this community about any policy of engagement toward Cuba. As many of you know, I've been skeptical too. But you've been promised progress for fifty years. And we can't wait any longer for a failed policy to bear fruit. We have to seize this moment. We have to now support change on an island where it is desperately needed.

I did not come to this position lightly. I well remember what happened to previous attempts at engagement. In the 1990s, Castro responded to quiet diplomacy by shooting down the unarmed Brothers to the Rescue plane out of the sky. And with their deaths in mind, I supported the Helms-Burton Act to tighten the embargo.",Optimistic,Optimistic,TRUE,Optimistic,
296,"It has been more than 500 days since my husband, Donald Trump, announced that he would run for President of the United States. In remember that day in June 2015 vividly. Surrounded by our family and speaking to an audience of millions, Donald promised to campaign on behalf of those who feel the system is broken and does not work for them. Those who just want a fair shake, an opportunity for a better education, a better paying job, a better future. He pledged to restore integrity to Washington and respect for America abroad.

This is not an ordinary campaign. It is a movement. A movement in which people feel included, inspired, an involved. I have seen it firsthand. We are deeply grateful to the millions of Americans who believe in my husband because they know he believes in you. He believes in America, and he will make a fantastic President of these United States.",Optimistic,Optimistic,TRUE,Optimistic,
297,"The clear answer to that question has placed me in this hall with you tonight. For my family is more important than my Party. There is but one man to whom I am willing to entrust their future and that man's name is George W. Bush.

In the summer of 1940, I was an eight-year-old boy living in a remote little Appalachian valley. Our country was not yet at war, but even we children knew that there were some crazy men across the ocean who would kill us if they could. President Roosevelt, in a speech that summer, told America ""all private plans, all private lives, have been in a sense repealed by an overriding public danger.""",Neutral,Optimistic,FALSE,Neutral,
298,"The workers of the nation were tired of waiting for corporate industry to right their economic wrongs, to alleviate their social agony and to grant them their political rights. Despairing of fair treatment, they resolved to do something for themselves. They, therefore, have organized a new labor movement, conceived within the principles of the national bill of rights and committed to the proposition that the workers are free to assemble in their own forums, voice their own grievances, declare their own hopes and contract on even terms with modern industry for the sale of their only material possession -- their labor.

The Committee for Industrial Organization has a numerical enrollment of 3,718,000 members. It has 32 affiliated national and international unions. Of this number 11 unions account for 2,765,000 members. This group is organized in the textile, auto, garment, lumber, rubber, electrical manufacturing, power, steel, coal and transport industries. The remaining membership exists in the maritime, oil production and refining, ship building, leather, chemical, retail, meat packing, vegetable canning, metalliferous mining, miscellaneous manufacturing, agricultural labor, and service and miscellaneous industries. Some 200,000 workers are organized into 507 chartered local unions not yet attached to a national industrial union.",Neutral,Pessimistic,FALSE,Neutral,
299,"You won't need anything in the record when I finish telling you this. Until this moment, Senator, I think I never really gauged your cruelty, or your recklessness. Fred Fisher is a young man who went to the Harvard Law School and came into my firm and is starting what looks to be a brilliant career with us. When I decided to work for this committee, I asked Jim St. Clair, who sits on my right, to be my first assistant. I said to Jim, ""Pick somebody in the firm to work under you that you would like."" He chose Fred Fisher, and they came down on an afternoon plane. That night, when we had taken a little stab at trying to see what the case is about, Fred Fisher and Jim St. Clair and I went to dinner together. I then said to these two young men, ""Boys, I don't know anything about you except I've always liked you. But if there's anything funny in the life of either one of you that would hurt anybody in this case, you speak up quick.""",Neutral,Pessimistic,FALSE,Pessimistic,
