ID,Adjudication,Classification,Text
10,Adjudicated,Optimistic,"We must act today in order to preserve tomorrow. And let there be no misunderstanding -- we’re going to begin to act beginning today. The economic ills we suffer have come upon us over several decades. They will not go away in days, weeks, or months, but they will go away. They will go away because we as Americans have the capacity now, as we have had in the past, to do whatever needs to be done to preserve this last and greatest bastion of freedom. So with all the creative energy at our command, let us begin an era of national renewal. Let us renew our determination, our courage, and our strength. And let us renew our faith and our hope. We have every right to dream heroic dreams."
11,Adjudicated,Pessimistic,"But we still have this guy in the White House. And every single morning he wakes up, and he tries to divide us. He sends out tweets going after immigrants, he goes after people of color, he belittles people that don’t agree with him and he allows a foreign country to make mincemeat of our democracy. We have a president that can't keep his decisions seven minutes from now."
12,Adjudicated,Pessimistic,"It's not enough for us to view this as some remote event in which we, ourselves, are not involved. For our friends in Lebanon and Israel, for our friends in Europe and elsewhere in the Middle East, and for us as Americans, this tragedy, horrible as it is, reminds us of the absolute imperative of bringing peace to that troubled country and region. The people of Lebanon must have learned that the cycle of massacre upon massacre must end. Children are not avenged by the murder of other children. Israel must have learned that there is no way it can impose its own solutions on hatreds as deep and bitter as those that produced this tragedy. The participation of American forces in Beirut will again be for a limited period. But I've concluded there is no alternative to their returning to Lebanon if that country is to have a chance to stand on its own feet."
13,Adjudicated,Pessimistic,"Events in Iraq have now reached the final days of decision... Since then, the world has engaged in 12 years of diplomacy. We have passed more than a dozen resolutions in the United Nations Security Council. We have sent hundreds of weapons inspectors to oversee the disarmament of Iraq. Our good faith has not been returned. The danger is clear: using chemical, biological or, one day, nuclear weapons, obtained with the help of Iraq, the terrorists could fulfill their stated ambitions and kill thousands or hundreds of thousands of innocent people in our country, or any other."
14,Adjudicated,Optimistic,"I hope that every American, regardless of where he lives, will stop and examine his conscience about this and other related incidents. This Nation was founded by men of many nations and backgrounds. It was founded on the principle that all men are created equal, and that the rights of every man are diminished when the rights of one man are threatened. Today, we are committed to a worldwide struggle to promote and protect the rights of all who wish to be free. But legislation, I repeat, cannot solve this problem alone. It must be solved in the homes of every American in every community across our country. Therefore, I'm asking for your help in making it easier for us to move ahead and to provide the kind of equality of treatment which we would want ourselves; to give a chance for every child to be educated to the limit of his talents."
15,Adjudicated,Optimistic,"Most women will agree that August 23, the day when the Tennessee legislature finally enacted the Federal suffrage amendment, is a day to begin with, not a day to end with. Men are saying perhaps 'Thank God, this everlasting woman’s fight is over!' But women, if I know them, are saying, 'Now at last we can begin.' Woman’s freedom, in the feminist sense, can be fought for and conceivably won before the gates open into industrial democracy. The immediate feminist program must include voluntary motherhood. Freedom of any kind for women is hardly worth considering unless it is assumed that they will know how to control the size of their families."
16,Adjudicated,Neutral,"By gathering in Beijing, we are focusing world attention on issues that matter most in our lives -- the lives of women and their families: access to education, health care, jobs and credit, the chance to enjoy basic legal and human rights and to participate fully in the political life of our countries. Our goals for this conference, to strengthen families and societies by empowering women to take greater control over their own destinies, cannot be fully achieved unless all governments -- here and around the world -- accept their responsibility to protect and promote internationally recognized human rights."
17,Adjudicated,Optimistic,"Thank you for organizing your communities and shattering records – more than 1.9 million voters who stood up for protecting our public schools, continued criminal justice reform, Medicaid expansion and real economic mobility for all of our counties. We won state House races and Senate races, a new seat in Congress and put America on notice that change is not coming – it has arrived. And you made it so. But those who fear change pushed back, and so we waited for the whole truth of this election – good and evil – to come forth. So thank you sharing your stories, for the tens of thousands of calls into our voter protection line. Thank you for volunteering your hours after the polls closed and for the past ten days. For driving to all 159 counties and for hearing the concerns of Georgia citizens, through tears and frustration and disappointment Because Georgia still has a decision to make about who will we be in the next election. And the one after that. And the one after that. So we have used this election and its aftermath to diagnose what has been broken in our process."
18,Adjudicated,Neutral,"With such a history behind it, how can our nation escape the logic it has never failed to follow, when its last un-enfranchised class calls for the vote? Behold our Uncle Sam floating the banner with one hand, ""Taxation without representation is tyranny,"" and with the other seizing the billions of dollars paid in taxes by women to whom he refuses ""representation."" Behold him again, welcoming the boys of twenty-one and the newly made immigrant citizen to ""a voice in their own government"" while he denies that fundamental right of democracy to thousands of women public school teachers from whom many of these men learn all they know of citizenship and patriotism, to women college presidents, to women who preach in our pulpits, interpret law in our courts, preside over our hospitals, write books and magazines, and serve in every uplifting moral and social enterprise. Is there a single man who can justify such inequality of treatment, such outrageous discrimination? Not one... Second, the suffrage for women already established in the United States makes women suffrage for the nation inevitable. When Elihu Root, as president of the American Society of International Law, at the eleventh annual meeting in Washington, April 26, 1917, said, ""The world cannot be half democratic and half autocratic. It must be all democratic or all Prussian. There can be no compromise,"" he voiced a general truth. Precisely the same intuition has already taught the blindest and most hostile foe of woman suffrage that our nation cannot long continue a condition under which government in half its territory rests upon the consent of half of the people and in the other half upon the consent of all the people; a condition which grants representation to the taxed in half of its territory and denies it in the other half a condition which permits women in some states to share in the election of the president, senators, and representatives and denies them that privilege in others. It is too obvious to require demonstration that woman suffrage, now covering half our territory, will eventually be ordained in all the nation. No one will deny it. The only question left is when and how will it be completely established."
19,Adjudicated,Neutral,"Secretary Gates, the Defense Gates recently described Afghanistan to the U.S. Congress as posing 'our greatest military challenge right now.' As he noted, our fundamental objective in Afghanistan is to ensure that transnational terrorists are not able to reestablish the sanctuaries they enjoyed prior to 9/11. In fact, there has been nothing easy about Afghanistan. And as Senator Lieberman observed recently in a speech to the Brookings institution, 'Reversing Afghanistan’s slide into insecurity will not come quickly, easily, or cheaply.' Similarly, Secretary Gates told Congress, 'this will undoubtedly be a long and difficult fight.' On a related note, given the importance of Afghan solutions and governance being viewed as legitimate by the people and in view of allegations of corruption, such efforts likely should feature support for what might be called an 'Afghan accountability offensive' as well. That will be an important effort."
20,Adjudicated,Pessimistic,"But today, I weep for my country. I have watched the events of recent months with a heavy, heavy heart. No more is the image of America one of strong, yet benevolent peacekeeper. The image of America, Madam President, has changed. Around the globe, our friends mistrust us; our word is disputed; our intentions are questioned. Instead of reasoning with those with whom we disagree, we demand obedience, or threaten recrimination. Instead of isolating Saddam Hussein, we seem to have succeeded in isolating ourselves. We proclaim a new doctrine of preemption which is understood by few and feared by many. We say that the United States has the right to turn its firepower on any corner of the globe which might be suspect in the war on terrorism. We assert that right without the sanction of any international body. As a result, the world has become a much more dangerous place. We flaunt our superpower status with arrogance. We treat UN Security Council members like ingrates who offend our princely dignity by lifting their heads from the carpet. Valuable alliances are split. After the war has ended, the United States will have to rebuild much more than the country of Iraq. We will have to rebuild America's image around the globe."
21,Adjudicated,Optimistic,"My name is Val Demings and I'm running for Congress in the great state of Florida. I spent 27 years on the Orlando Police Force and had the honor of serving as Orlando's first woman chief of police. I know firsthand the tragedy that gun violence inflicts on families in America, and after 49 people were murdered in a nightclub in Orlando last month, let me tell you, our city takes it personally that Congress refuses to disarm hate. You don't need to be a police chief to know that our communities are less safe when criminals and suspected terrorists can walk into a gun shop or gun show and leave with a weapon. On issue after issue it's the leadership of women that makes a stronger America. With Hillary Clinton in the White House and these strong house Democratic women, together with women and families all across our nation, we will show the world what this statement really means. When women succeed, America succeeds. Thank you."
22,Adjudicated,Neutral,"The truth of these words is beyond doubt, but the mission to which they call us is a most difficult one. Even when pressed by the demands of inner truth, men do not easily assume the task of opposing their government's policy, especially in time of war. Nor does the human spirit move without great difficulty against all the apathy of conformist thought within one's own bosom and in the surrounding world. Moreover, when the issues at hand seem as perplexing as they often do in the case of this dreadful conflict, we are always on the verge of being mesmerized by uncertainty; but we must move on. And some of us who have already begun to break the silence of the night have found that the calling to speak is often a vocation of agony, but we must speak. We must speak with all the humility that is appropriate to our limited vision, but we must speak. And we must rejoice as well, for surely this is the first time in our nation's history that a significant number of its religious leaders have chosen to move beyond the prophesying of smooth patriotism to the high grounds of a firm dissent based upon the mandates of conscience and the reading of history. Perhaps a new spirit is rising among us. If it is, let us trace its movements and pray that our own inner being may be sensitive to its guidance, for we are deeply in need of a new way beyond the darkness that seems so close around us. Over the past two years, as I have moved to break the betrayal of my own silences and to speak from the burnings of my own heart, as I have called for radical departures from the destruction of Vietnam, many persons have questioned me about the wisdom of my path. At the heart of their concerns this query has often loomed large and loud: ""Why are you speaking about the war, Dr. King?"" ""Why are you joining the voices of dissent?"" ""Peace and civil rights don't mix,"" they say. ""Aren't you hurting the cause of your people,"" they ask? And when I hear them, though I often understand the source of their concern, I am nevertheless greatly saddened, for such questions mean that the inquirers have not really known me, my commitment or my calling. Indeed, their questions suggest that they do not know the world in which they live."
23,Adjudicated,Optimistic,"Joe knows the fear military families live because he's felt that dread of never knowing if your deployed loved one is safe. He understands their bravery because he has had to muster that same strength every hour of every day Beau was overseas. That's the kind of leader our service members deserve. One who understands the risks they face and who would actually protect them by doing his job as commander-in-chief. Instead, they have a coward-in-chief who won't stand up to Vladimir Putin, read his daily intelligence briefings or even publicly admonish adversaries for reportedly putting bounties on our troops’ heads. As president, Joe Biden would never let tyrants manipulate him like a puppet, he would never pervert our military to stroke his own ego, he would never turn his back on our troops or threaten them against Americans peacefully exercising their constitutional rights. Joe Biden would stand up for what’s right, stand tall for our troops and stand strong against our enemies because unlike Trump, Joe Biden has common decency, he has common sense, he can command both from experience and from strength. Donald Trump doesn't deserve to call himself commander-in-chief for another four minutes, let alone another four years. Our troops deserve better, our country deserves better."
24,Adjudicated,Optimistic,"For our part, I am today committing the United States of America to support a new worldwide fund with a founding contribution of $200 million. This is in addition to the billions we spend on research and to the $760 million we're spending this year to help the international effort to fight AIDS. This $200 million will go exclusively to a global fund, with more to follow as we learn where our support can be most effective. Based on this morning's meetings, I believe a consensus is forming on the basic elements that must shape the Global Fund and its use. First, we agree on the need for partnerships across borders and among both the public and private sectors. We must call upon the compassion, energy and generosity of people everywhere. This means that not only governments can help but also private corporations, foundations, faith-based groups and nongovernmental organizations as well. Second, we agree on an integrated approach that emphasizes prevention and training of medical personnel as well as treatment and care. Prevention is indispensable to any strategy of controlling a pandemic such as we now face. Third, we must concentrate our efforts on programs that work, proven best practices. Whenever the Global Fund supports any health program, we must know that it meets certain essential criteria. We must know that the money is well spent, victims are well cared for and local populations are well served."
25,Adjudicated,Optimistic,"Well, the fact is that we are not an isolated piece of their puzzle. We are one nation. We are the United States of America! 'To Be All That We Can Be' Now, we Democrats believe that America is still the country of fair play, that we can come out of a small town or a poor neighborhood and have the same chance as anyone else and it doesn't matter whether we are black or Hispanic or disabled or a woman. We believe that America is a country where small business owners must succeed because they are the bedrock, backbone of our economy. We believe that our kids deserve good day care and public schools. We believe our kids deserve public schools where students can learn, and teachers can teach. We want to believe that our parents will have a good retirement - and that we will, too. We Democrats believe that Social Security is a pact that cannot be broken. We want to believe that we can live out our lives without the terrible fear that an illness is going to bankrupt us and our children. We Democrats believe that America can overcome any problem, including the dreaded disease called AIDS. We believe that America is still a country where there is more to life than just a constant struggle for money. And we believe that America must have leaders who show us that our struggles amount to something and contribute to something larger, leaders who want us to be all that we can be."
26,Adjudicated,Optimistic,"Just as I worked to make sure California got its share of federal resources, we now need to make sure that Sacramento -- the largest city in America at the greatest risk of catastrophic flooding -- gets the resources we need to take our people out of harm's way. And we need to make sure that as Sacramento continues to grow, our transportation network grows with it. In the days ahead, it will be critical that we keep up Bob's fight against Social Security privatization. Just as I worked to reduce class size and build new schools, we now need to make sure that real education reforms get the real resources necessary to succeed. And just as we worked to expand health care coverage to children, we now need to go even further, because it is unconscionable that in a nation that is home to some of the most stunning advances in health care, 45 million Americans still go without basic health insurance. Similarly, the work I did to build bridges between America and the nations of the world. is also something we must do more of in the days ahead. After all, America faces real threats today. Those threats will never be eliminated if we continue to alienate our allies. America must be smart as well as strong. In these times -- when our nation faces so many challenges -- we need sophisticated, mature leadership in Washington. When the people of southern Asia see our soldiers and ships and helicopters bringing food, water, and supplies -- they see the best of America. Just as we need to do more to present an America of friendship and compassion to the world, we also need to do more to create that America here at home. So today, I ask you to allow me to continue Bob's work through mine. I am asking those who supported him to now support me. I am asking those who believed in him to believe in me. I am asking all of you who stood alongside him for a better Sacramento to now stand with me. "
27,Adjudicated,Optimistic,"Our state came face to face with evil. A white supremacist walked into Mother Emanuel Church during bible study, 12 African Americans pulled up a chair and prayed with him for an hour then he began to shoot. After that horrific tragedy we didn’t turn against each other, we came together; Black and white, Democrat and Republican. Together we made the hard choices needed to heal and removed a divisive symbol peacefully and respectfully. What happened then should give us hope now. America isn't perfect but the principles we hold dear are perfect. There's one thing I've learned it’s that even on our worst day we are blessed to live in America; it’s time to keep that blessing alive for the next generation. This president and this party are committed to that noble task. We seek a nation that rises together, not falls apart in anarchy and anger. We know that the only way to overcome America's challenges is to embrace America's strengths. We are striving to reach a brighter future where every child goes to a world-class school chosen by their parents. Where every family lives in a safe community with good jobs. Where every entrepreneur has the freedom to achieve and inspire. Where every believer can worship without fear and every life is protected. Where every girl and boy, every woman and man of every race and religion has the best shot at the best life."
28,Adjudicated,Neutral,"He must learn them again. He must teach himself that the basest of all things is to be afraid; and, teaching himself that, forget it forever, leaving no room in his workshop for anything but the old verities and truths of the heart, the old universal truths lacking which any story is ephemeral and doomed -- love and honor and pity and pride and compassion and sacrifice. Until he does so, he labors under a curse. He writes not of love but of lust, of defeats in which nobody loses anything of value, of victories without hope and, worst of all, without pity or compassion. His griefs grieve on no universal bones, leaving no scars. He writes not of the heart but of the glands. Until he relearns these things, he will write as though he stood among and watched the end of man. I decline to accept the end of man. It is easy enough to say that man is immortal simply because he will endure: that when the last ding-dong of doom has clanged and faded from the last worthless rock hanging tideless in the last red and dying evening, that even then there will still be one more sound: that of his puny inexhaustible voice, still talking. I refuse to accept this. I believe that man will not merely endure: he will prevail. He is immortal, not because he alone among creatures has an inexhaustible voice, but because he has a soul, a spirit capable of compassion and sacrifice and endurance."
29,Adjudicated,Neutral,"Our progress -- our progress is measured day by day, terrorist by terrorist. We recently apprehended one of al Qaeda's top leaders, a man named Abu Zabaydah. He was spending a lot of time as one of the top operating officials of al Qaeda, plotting and planning murder. He's not plotting and he's not planning anymore. He's under lock and key, and we're going to give him some company. We're hunting down the killers one by one. We're learning a lot about al Qaeda operations and their plans. As our enemies have fled their hideouts in Afghanistan, they left some things behind. We found laptop computers, drawings and maps. And through them, we're gaining a clearer picture of the terrorist targets and their methods. Our international coalition against these killers is strong and united and acting. European nations have frozen almost $50 million in suspected terrorist assets, and that's important. Many European states are taking aggressive and effective law enforcement action to join us in rounding up these terrorists and their cells. We're making good progress. Yet, it's important for Americans to know this war will not be quick and this war will not be easy. The first phase of our military operation was in Afghanistan, where our armed forces continue to perform with bravery and with skill. You've got to understand that as we routed out the Taliban, they weren't sent in to conquer; they were sent in to liberate. And they succeeded. And our military makes us proud. The battles in Afghanistan are not over. American and allied troops are taking risks today in what we call Operation Mountain Lion -- hunting down the al Qaeda and Taliban forces, and keeping them on the run. Coalition naval forces, in the largest combined flotilla since World War II, are patrolling escape routes and intercepting ships to search for terrorists and their supplies."
30,Adjudicated,Pessimistic,"But in spite of, or maybe because of, a flurry of stories about places like Nicaragua and El Salvador and, yes, some concerted propaganda, many of us find it hard to believe we have a stake in problems involving those countries. Too many have thought of Central America as just that place way down below Mexico that can't possibly constitute a threat to our well-being. And that's why I've asked for this session. Central America's problems do directly affect the security and the well-being of our own people. And Central America is much closer to the United States than many of the world troublespots that concern us. So, we work to restore our own economy; we cannot afford to lose sight of our neighbors to the south. But nearness on the map doesn't even begin to tell the strategic importance of Central America, bordering as it does on the Caribbean—our lifeline to the outside world. Two-thirds of all our foreign trade and petroleum pass through the Panama Canal and the Caribbean. In a European crisis at least half of our supplies for NATO would go through these areas by sea. It's well to remember that in early 1942, a handful of Hitler's submarines sank more tonnage there than in all of the Atlantic Ocean. And they did this without a single naval base anywhere in the area. And today, the situation is different. Cuba is host to a Soviet combat brigade, a submarine base capable of servicing Soviet submarines, and military air bases visited regularly by Soviet military aircraft."
31,Adjudicated,Pessimistic,"This Republican Administration treats us as if we were pieces of a puzzle that can’t fit together. They've tried to put us into compartments and separate us from each other. Their political theory is “divide and conquer.” They’ve suggested time and time again that what is of interest to one group of Americans is not of interest to any one else. We’ve been isolated. We’ve been lumped into that sad phraseology called “special interests.” They’ve told farmers that they were selfish, that they would drive up food prices if they asked the government to intervene on behalf of the family farm, and we watched farms go on the auction block while we bought food from foreign countries. Well, that’s wrong! They told working mothers it’s all their fault -- their families are falling apart because they had to go to work to keep their kids in jeans and tennis shoes and college. And they’re wrong!! They told American labor they were trying to ruin free enterprise by asking for 60 days’ notice of plant closings, and that’s wrong. And they told the auto industry and the steel industry and the timber industry and the oil industry, companies being threatened by foreign products flooding this country, that you’re ""protectionist"" if you think the government should enforce our trade laws. And that is wrong. When they belittle us for demanding clean air and clean water for trying to save the oceans and the ozone layer, that’s wrong."
32,Adjudicated,Optimistic,"Likewise we can say we don't need the Church. That is our business. But there are hundreds of thousands of our people who desperately need some help from that powerful institution, the Church, and we are foolish not to help them get it. For example, the Catholic Charities agencies of the Catholic Church has millions of dollars earmarked for the poor. But often the money is spent for food baskets for the needy instead of for effective action to eradicate the causes of poverty. The men and women who administer this money sincerely want to help their brothers. It should be our duty to help direct the attention to the basic needs of the Mexican-Americans in our society... needs which cannot be satisfied with baskets of food, but rather with effective organizing at the grass roots level. Therefore, I am calling for Mexican-American groups to stop ignoring this source of power. It is not just our right to appeal to the Church to use its power effectively for the poor, it is our duty to do so. It should be as natural as appealing to government... and we do that often enough."
33,Adjudicated,Optimistic,"It's time to stop all new fossil fuel infrastructure in America. No more pipelines. It's time for a renewable energy revolution, a Green New Deal. In New Mexico, we have nearly 300 days of sun per year. We're ready to power America. Let's get to work toward 100% renewable energy. And also—look, we should legalize cannabis on the federal level, right? It's about time. In New Mexico, just like across our country, young people of color have been dragged off to prison by the thousands just for marijuana. Our private prisons are full of them. Native Americans have the lowest population in our country and the highest number of cases in federal courts, and that isn't an accident. When we legalize marijuana, we must release everyone in prison on marijuana charges [cheers and applause] and ensure that the people who have served their time don't languish in jail while others profit off of its legalization. We're seeing a new wave of excitement for a bold progressive vision for our future, where people come before corporate profits, where we all have healthcare, where all people can not only survive but succeed. Big ideas like universal child care, food and housing as human rights, a ban on assault weapons, and a new era of investment for public schools are motivating our movement. From Albuquerque to New Orleans, from the Lummi Nation to the eastern Cherokee Nation, we have an unprecedented opportunity to make change."
34,Adjudicated,Optimistic,"One of the bills Congress has passed builds on the progress we have made over the last five years. So I signed it into law. (Applause.) Congress has also passed a second bill that attempts to overturn the balanced policy I set. This bill would support the taking of innocent human life in the hope of finding medical benefits for others. It crosses a moral boundary that our decent society needs to respect, so I vetoed it. Like all Americans, I believe our nation must vigorously pursue the tremendous possibility that science offers to cure disease and improve the lives of millions. We have opportunities to discover cures and treatments that were unthinkable generations ago. Some scientists believe that one source of these cures might be embryonic stem cell research. Embryonic stem cells have the ability to grow into specialized adult tissues, and this may give them the potential to replace damaged or defective cells or body parts and treat a variety of diseases."
35,Adjudicated,Neutral,"In 1987 the French police found a large cache of explosives buried in a secret place in the Bois de Boulogne in Paris.¹ They staked out the cache and arrested some men who came to pick up these explosives. The French Minister of Interior called me that afternoon and said, ""Mr. Ambassador, you better come over to Paris right away. I have to tell you about this arrest we made."" So I flew over that night and the next morning he told me that these men had admitted to being members of Hezbollah, a Lebanese terrorist group, and that they were going to use these explosives in casual -- in attacks trying to kill many, many Frenchmen. But what was interesting was not that. It was their objective. Their stated objective was to create the Islamic Republic of France -- the Islamic Republic of France. Now, in 1987 this struck me as something of a fantastic idea. But, in fact, these men -- though I didn't know it at that time -- represented the face of the new terrorism that the National Commission reported on. By way of background, the old terrorists, the people we fought in the 70's and 80's were groups of men who used terrorism as a tactical device to draw attention to their cause. They didn't want to kill a lot of people. They just wanted to kill enough to get [in] the newspapers there, so they could talk about their objectives. In effect, the old terrorists practiced self-restraint in the number of people they killed."
36,Adjudicated,Neutral,"But for too long, the Nation's business in Washington has been conducted as if these basic rules did not apply. Well, these rules do apply. And if we fail to act, next year alone we will face a Federal budget deficit of more than $300 billion, a deficit that could weaken our economy further and cost us thousands of precious jobs. If what goes up must come down, then the way down could be very hard. But it doesn't have to be that way. We can do something. In fact, we have started to do something. But we must act this week, when Congress will hold the first of two crucial up-or-down votes. These votes will be on a deficit reduction agreement worked out between the administration and the bipartisan leaders of Congress. This budget agreement is the result of 8 months of blood, sweat, and fears—fears of the economic chaos that would follow if we fail to reduce the deficit. Of course, I cannot claim it's the best deficit reduction plan possible. It's not. Any one of us alone might have written a better plan. But it is the best agreement that can be legislated now. It is the biggest deficit reduction agreement ever—half a trillion dollars. It's the toughest deficit reduction package ever, with new enforcement rules to make sure that what we fix now stays fixed. And it has the largest spending savings ever—more than $300 billion. For the first time, a Republican President and leaders of a Democratic Congress have agreed to real cuts that will be enforced by law, not promises—no smoke, no mirrors, no magic act, but real and lasting spending cuts."
